AH RAHMAN;JAI HO;2008
BRAN VAN 3000;ASTOUNDED;2001
CLAUDIA SYLVA;J’AI PLEURÉ;1965
DILLINGER;RAGNAMPIZA;1976
EXECUTIVE SLACKS;SOLEMN DILLEMA;1986
FRANCIS BEBEY;THE COFEE COLA SONG;1982
GOLDIE LOOKIN CHAIN;GUNS DON’T KILL PEOPLE, RAPPERS DO;2004
HAWKWIND;MOTORHEAD;1975
ILLUSION;DANSEN IN DE REGEN;1994
THE JUDDS;WHY NOT ME;1984
KÖLSCH;IN BOTTLES;2017
LIVERPOOL 5;ANYWAY THAT YOU WANT ME;1967
MARK RONSON (feat. Mystikal);FEEL RIGHT;2015
O’ JAYS;BACKSTABBERS;1972
PRINCE BUSTER;DANCE CLEOPATRA DANCE;1967
QUANNUM (MC’S);I CHANGED MY MIND;1999
ROLLING STONES;JUST YOUR FOOL;2016
SLIPKNOT;SPIT IT OUT;1999
TV ON THE RADIO;WOLF LIKE ME;2006
UNDERGROUND SUNSHINE;BIRTHDAY;1969
VAN MORRISON;MOONDANCE;1970
WALLACE VANBORN;ATOM JUGGLER;2010
XTC;WONDERLAND;1983
ZOHRA;I HATE TO LOVE YOU;1997
